epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8449,2.30722,8.56075,1.00877,0,0,0,0,5.5849,14.289,14.8104,0.0704412,0.00328431,0.00328431
2,117.177,2.17021,1.84377,0.99506,0.6051,0.35185,0.31386,0.13014,2.08678,122.564,1.1035,0.0403975,0.00657397,0.00657397
3,175.163,2.17118,1.65582,0.97649,0.45089,0.33704,0.31761,0.13166,2.22641,4.71586,1.0312,0.0103098,0.00981963,0.00981963
4,246.28,2.02127,1.56296,0.97944,0.58896,0.43704,0.4395,0.19104,2.01587,5.72342,1.02102,0.009802,0.009802,0.009802
5,307.616,2.02854,1.49149,0.9501,0.78107,0.52963,0.63535,0.29118,1.93744,1.95231,0.96033,0.009736,0.009736,0.009736
6,366.637,2.00585,1.42858,0.96165,0.79683,0.69259,0.74915,0.33573,1.82135,2.64349,0.94139,0.00967,0.00967,0.00967
7,425.442,1.86505,1.40572,0.9212,0.78976,0.61481,0.70103,0.35878,1.72879,2.39976,0.93203,0.009604,0.009604,0.009604
8,496.187,1.81542,1.35387,0.91656,0.9065,0.61045,0.75383,0.37643,1.65395,2.09503,0.91766,0.009538,0.009538,0.009538
9,555.705,1.75926,1.30619,0.91801,0.79133,0.55926,0.66584,0.32371,1.76122,1.93061,0.92627,0.009472,0.009472,0.009472
10,613.355,1.77659,1.3387,0.93022,0.89987,0.50741,0.63856,0.34582,1.58547,1.69442,0.90206,0.009406,0.009406,0.009406
11,670.975,1.71469,1.24857,0.90117,0.79053,0.68519,0.75307,0.39956,1.55573,1.19264,0.91063,0.00934,0.00934,0.00934
12,740.125,1.6919,1.17374,0.90569,0.8199,0.6963,0.77155,0.39771,1.63139,1.20091,0.91018,0.009274,0.009274,0.009274
13,797.227,1.72546,1.20501,0.91616,0.8607,0.68519,0.78868,0.41326,1.53879,1.17747,0.89437,0.009208,0.009208,0.009208
14,847.906,1.63734,1.12706,0.8991,0.84136,0.61481,0.71916,0.39251,1.60678,1.39204,0.90865,0.009142,0.009142,0.009142
15,898.504,1.6253,1.09164,0.89629,0.86741,0.62222,0.74341,0.40451,1.62936,1.33752,0.90884,0.009076,0.009076,0.009076
16,958.233,1.67614,1.13247,0.89588,0.82175,0.64883,0.73238,0.34155,1.79817,1.24889,0.91653,0.00901,0.00901,0.00901
17,1018.45,1.5815,1.11121,0.87887,0.8385,0.6963,0.78998,0.44971,1.53906,1.18734,0.90143,0.008944,0.008944,0.008944
18,1069.21,1.66302,1.15038,0.88495,0.86012,0.706,0.82081,0.4271,1.56521,1.07986,0.88462,0.008878,0.008878,0.008878
19,1119.76,1.64395,1.11165,0.89892,0.86227,0.65926,0.75938,0.39051,1.64828,1.37895,0.90333,0.008812,0.008812,0.008812
20,1179.34,1.59926,1.06307,0.88964,0.7216,0.64815,0.70401,0.3268,1.67752,2.32537,0.90331,0.008746,0.008746,0.008746
21,1239.09,1.6278,1.07068,0.89525,0.8373,0.72222,0.81059,0.40942,1.65037,1.2452,0.89617,0.00868,0.00868,0.00868
22,1289.74,1.65666,1.11592,0.91582,0.90135,0.74448,0.82031,0.47017,1.47953,1.07432,0.88718,0.008614,0.008614,0.008614
23,1340.65,1.70983,1.10868,0.90619,0.83027,0.76095,0.83863,0.45255,1.54839,1.00059,0.89752,0.008548,0.008548,0.008548
24,1399.87,1.60489,1.03136,0.89476,0.83202,0.6971,0.80369,0.41536,1.60183,1.19101,0.91415,0.008482,0.008482,0.008482
25,1460,1.61015,1.07292,0.90116,0.83264,0.65926,0.74803,0.33995,1.7981,1.15975,0.9302,0.008416,0.008416,0.008416
26,1510.64,1.62936,1.0518,0.87659,0.85595,0.64444,0.78253,0.43417,1.55906,1.20803,0.90465,0.00835,0.00835,0.00835
27,1561.36,1.54394,1.00582,0.88145,0.79715,0.64074,0.73905,0.41367,1.46394,1.16612,0.88481,0.008284,0.008284,0.008284
