epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2855,2.49106,9.32312,1.0381,0.00016,0.05556,8e-05,3e-05,3.04475,inf,1.44655,0.0704412,0.00328431,0.00328431
2,113.991,2.74503,2.92145,1.10247,0,0,0,0,4.72435,inf,16.5054,0.0403975,0.00657397,0.00657397
3,162.687,2.76557,2.77434,1.09371,0.42077,0.27037,0.21294,0.05141,3.01686,4.22728,1.24467,0.0103098,0.00981963,0.00981963
4,228.514,2.583,2.36234,1.08908,0.50667,0.32222,0.32056,0.10927,2.34601,4.63329,1.06294,0.009802,0.009802,0.009802
5,283.654,2.45924,2.07585,1.0209,0.64712,0.42222,0.46908,0.1429,2.41915,2.38186,1.07725,0.009736,0.009736,0.009736
6,332.522,2.23148,1.78451,0.99186,0.52329,0.35926,0.35868,0.17757,1.88269,1.76379,1.00213,0.00967,0.00967,0.00967
7,382.518,2.16476,1.87037,0.99054,0.65498,0.35185,0.39764,0.16635,2.17321,2.47073,1.01996,0.009604,0.009604,0.009604
8,444.608,2.19234,1.67903,0.96594,0.54886,0.58519,0.54306,0.27238,1.91892,2.45473,0.9577,0.009538,0.009538,0.009538
9,500.642,1.95061,1.52343,0.94403,0.82366,0.50168,0.63015,0.31089,1.93148,1.70843,0.94061,0.009472,0.009472,0.009472
10,550.142,1.93751,1.57359,0.9501,0.76568,0.48889,0.58511,0.323,1.74509,1.63686,0.93902,0.009406,0.009406,0.009406
11,599.566,1.82576,1.34714,0.91222,0.84444,0.55556,0.66977,0.32764,1.74564,2.19832,0.93095,0.00934,0.00934,0.00934
12,662.359,1.81605,1.35762,0.91547,0.93114,0.50081,0.64613,0.33285,1.72459,2.04302,0.9264,0.009274,0.009274,0.009274
13,718.703,1.93931,1.41481,0.95013,0.72137,0.46667,0.53439,0.27315,1.98349,2.95975,0.99038,0.009208,0.009208,0.009208
14,769.454,1.88358,1.34166,0.93021,0.84712,0.51305,0.61793,0.33666,1.62945,1.50982,0.91927,0.009142,0.009142,0.009142
15,820.127,1.79533,1.20126,0.91802,0.83997,0.58889,0.68406,0.34339,1.68927,1.51253,0.92247,0.009076,0.009076,0.009076
16,885.545,1.73577,1.34605,0.90765,0.77261,0.68889,0.72035,0.39482,1.56846,1.3051,0.91421,0.00901,0.00901,0.00901
17,941.473,1.70537,1.23438,0.8889,0.79907,0.58148,0.70826,0.33048,1.87797,1.3188,0.94039,0.008944,0.008944,0.008944
18,990.844,1.70497,1.23799,0.88738,0.80933,0.45926,0.61268,0.35863,1.51726,1.4062,0.90325,0.008878,0.008878,0.008878
19,1040.57,1.82143,1.3059,0.92303,0.83713,0.62823,0.72469,0.39871,1.59053,1.41105,0.91035,0.008812,0.008812,0.008812
20,1103.81,1.68345,1.13551,0.90643,0.88616,0.63428,0.7692,0.42685,1.54007,1.22011,0.9027,0.008746,0.008746,0.008746
21,1159.9,1.71874,1.16006,0.91103,0.72888,0.53333,0.64585,0.34756,1.58293,2.79008,0.9101,0.00868,0.00868,0.00868
22,1209.37,1.71797,1.22617,0.92455,0.85028,0.62963,0.74891,0.39599,1.51961,1.15622,0.89548,0.008614,0.008614,0.008614
23,1258.66,1.67045,1.17207,0.89826,0.9531,0.64815,0.77873,0.43767,1.53542,1.18874,0.90012,0.008548,0.008548,0.008548
24,1321.55,1.6481,1.14323,0.89438,0.91661,0.69209,0.82058,0.42403,1.55612,1.29871,0.89259,0.008482,0.008482,0.008482
25,1378.87,1.64808,1.17301,0.89471,0.87532,0.75405,0.8253,0.44459,1.60323,1.09392,0.89345,0.008416,0.008416,0.008416
26,1429.76,1.5848,1.06973,0.86989,0.81749,0.66356,0.77721,0.41478,1.56904,1.05069,0.90766,0.00835,0.00835,0.00835
27,1480.46,1.60808,1.0441,0.88846,0.89396,0.72963,0.82769,0.46296,1.49506,1.00633,0.89446,0.008284,0.008284,0.008284
28,1545.86,1.57685,1.05655,0.89137,0.93622,0.70741,0.81841,0.44727,1.46227,1.09846,0.89172,0.008218,0.008218,0.008218
29,1601.75,1.5474,1.10272,0.86727,0.87111,0.67583,0.78723,0.43071,1.4672,1.04526,0.8963,0.008152,0.008152,0.008152
30,1651.28,1.57228,0.99893,0.87751,0.87822,0.71481,0.81917,0.4788,1.41074,1.03031,0.88453,0.008086,0.008086,0.008086
31,1701.91,1.63381,1.03476,0.90271,0.92237,0.70413,0.82444,0.47722,1.41446,0.90387,0.88272,0.00802,0.00802,0.00802
32,1766.1,1.60801,0.99284,0.89059,0.94201,0.72193,0.82606,0.47212,1.51893,0.95001,0.89935,0.007954,0.007954,0.007954
33,1822.37,1.56546,1.00231,0.89726,0.93575,0.73704,0.84054,0.44818,1.48742,0.96056,0.88877,0.007888,0.007888,0.007888
34,1871.89,1.53751,0.93979,0.88078,0.84194,0.72996,0.81348,0.41821,1.42995,0.98728,0.88263,0.007822,0.007822,0.007822
35,1921.75,1.55071,1.03403,0.88058,0.90126,0.71852,0.80658,0.45782,1.42824,1.09756,0.88736,0.007756,0.007756,0.007756
