epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1055.62,1.9279,30.2456,0.88,0.19619,0.35556,0.11922,0.05634,1.79275,18.6706,0.93679,0.000664198,0.000664198,0.000664198
2,2351.93,1.99668,15.9952,0.89026,0.77752,0.64717,0.7353,0.38953,1.70754,9.67359,0.95544,0.00126499,0.00126499,0.00126499
3,3223.84,1.9825,10.19,0.91117,0.86905,0.63906,0.74723,0.36018,1.8363,6.03031,0.9745,0.00179978,0.00179978,0.00179978
4,4073.99,1.99331,5.53883,0.91363,0.8034,0.62054,0.7275,0.30369,1.88104,3.78914,0.94416,0.001703,0.001703,0.001703
5,4925.55,1.86196,3.64419,0.87687,0.8772,0.71436,0.80221,0.40427,1.67585,2.49136,0.92241,0.001604,0.001604,0.001604
6,5779.86,1.76598,2.72446,0.88246,0.89503,0.66317,0.78324,0.40555,1.58978,2.13026,0.90863,0.001505,0.001505,0.001505
7,6612.99,1.65507,2.07759,0.86951,0.88077,0.73873,0.83543,0.4792,1.5126,1.6233,0.88998,0.001406,0.001406,0.001406
8,7455.41,1.70183,1.80614,0.87398,0.8638,0.75185,0.84106,0.47112,1.51312,1.42314,0.89553,0.001307,0.001307,0.001307
9,8289.24,1.6316,1.69048,0.85056,0.93191,0.76036,0.86908,0.50182,1.43382,1.44467,0.88449,0.001208,0.001208,0.001208
10,9120.36,1.63192,1.5736,0.84866,0.94869,0.75333,0.87832,0.50044,1.47339,1.19421,0.89516,0.001109,0.001109,0.001109
11,9971.54,1.50236,1.32854,0.86617,0.87738,0.79501,0.85463,0.44907,1.50243,1.25694,0.88784,0.00101,0.00101,0.00101
12,10826.3,1.52155,1.28616,0.85574,0.90587,0.74855,0.86294,0.49185,1.41779,1.18703,0.88007,0.000911,0.000911,0.000911
13,11679.6,1.51048,1.24349,0.86385,0.90278,0.8037,0.87663,0.51068,1.40156,1.11694,0.88254,0.000812,0.000812,0.000812
14,12518.7,1.43002,1.17067,0.85556,0.91534,0.8009,0.88366,0.50748,1.43687,1.05773,0.8839,0.000713,0.000713,0.000713
15,13425.1,1.40057,1.09894,0.83373,0.93594,0.81169,0.90047,0.53351,1.38613,0.98472,0.8746,0.000614,0.000614,0.000614
16,14252.1,1.3766,1.02696,0.84232,0.94848,0.75,0.88141,0.51245,1.45454,1.01081,0.882,0.000515,0.000515,0.000515
17,15077.2,1.40613,0.98228,0.85911,0.91769,0.82593,0.90425,0.55622,1.31041,0.88995,0.86113,0.000416,0.000416,0.000416
18,15944.5,1.31594,0.97245,0.82206,0.94507,0.82846,0.90845,0.57749,1.26872,0.87873,0.86216,0.000317,0.000317,0.000317
19,16759,1.32286,0.93384,0.84079,0.90383,0.83704,0.90513,0.57061,1.25542,0.87037,0.85866,0.000218,0.000218,0.000218
20,17602,1.34256,0.88928,0.85833,0.92008,0.84815,0.90676,0.56004,1.29688,0.87268,0.86338,0.000119,0.000119,0.000119
