epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.295,2.29323,8.49174,1.00845,9e-05,0.01852,5e-05,2e-05,nan,nan,nan,0.0704412,0.00328431,0.00328431
2,525.618,2.29953,1.95497,1.00424,0.52863,0.27037,0.30486,0.11079,2.42951,2.5836,1.26685,0.0403975,0.00657397,0.00657397
3,827.239,2.24263,1.86611,1.006,0.43055,0.42593,0.34258,0.13193,2.30399,18.0891,1.05159,0.0103098,0.00981963,0.00981963
4,1107.8,2.08793,1.71531,0.99582,0.23587,0.53704,0.32562,0.13197,1.95952,34.899,0.96559,0.009802,0.009802,0.009802
5,1400.26,2.12193,1.69205,0.96146,0.64711,0.44147,0.51662,0.23605,1.97821,2.78988,0.96996,0.009736,0.009736,0.009736
6,1683.56,2.0256,1.53145,0.95941,0.7102,0.43704,0.5563,0.24599,2.04474,2.01825,0.99243,0.00967,0.00967,0.00967
7,1914.85,2.06672,1.70107,0.97163,0.85205,0.53324,0.64746,0.31739,1.85224,2.33582,0.95915,0.009604,0.009604,0.009604
8,2131.62,1.9761,1.44063,0.95412,0.64155,0.47407,0.48821,0.23174,1.79861,2.00432,0.93585,0.009538,0.009538,0.009538
9,2364.06,1.82098,1.41769,0.91964,0.6762,0.51048,0.59915,0.29142,1.87604,2.91133,0.94819,0.009472,0.009472,0.009472
10,2647.13,1.85264,1.41437,0.92784,0.86631,0.57599,0.67863,0.35042,1.64764,1.56972,0.91375,0.009406,0.009406,0.009406
11,2928.46,1.83415,1.22011,0.91402,0.78054,0.51481,0.62867,0.29283,1.76459,1.49528,0.93031,0.00934,0.00934,0.00934
12,3196.23,1.82399,1.37196,0.92592,0.91073,0.57407,0.73049,0.39182,1.64669,1.15055,0.91464,0.009274,0.009274,0.009274
13,3484.45,1.72712,1.25828,0.9169,0.88436,0.65144,0.77026,0.42358,1.5673,1.19345,0.8914,0.009208,0.009208,0.009208
14,3713.48,1.69868,1.21513,0.91031,0.7433,0.52963,0.63311,0.3505,1.63093,1.49119,0.90735,0.009142,0.009142,0.009142
15,3944.18,1.69497,1.15031,0.90118,0.87901,0.7037,0.79935,0.4223,1.52949,1.05765,0.89344,0.009076,0.009076,0.009076
16,4162.63,1.76475,1.20879,0.91029,0.81406,0.66481,0.75051,0.38093,1.71799,1.21753,0.91168,0.00901,0.00901,0.00901
17,4383.51,1.66482,1.12167,0.88702,0.88671,0.69572,0.80906,0.45752,1.52709,1.01686,0.89031,0.008944,0.008944,0.008944
18,4598.01,1.72997,1.15841,0.8923,0.89592,0.61111,0.75681,0.40753,1.52562,1.09959,0.88777,0.008878,0.008878,0.008878
19,4826.83,1.665,1.1498,0.9004,0.84227,0.58148,0.7121,0.38609,1.62566,1.60446,0.9094,0.008812,0.008812,0.008812
20,5099.68,1.60011,1.1206,0.89457,0.78645,0.74074,0.77439,0.39656,1.57947,1.03663,0.9087,0.008746,0.008746,0.008746
21,5368.79,1.70712,1.10468,0.90929,0.90314,0.71111,0.81884,0.45049,1.57429,0.98031,0.89412,0.00868,0.00868,0.00868
22,5644.13,1.66284,1.12053,0.91627,0.8963,0.65185,0.77058,0.41747,1.5353,1.0572,0.88827,0.008614,0.008614,0.008614
