epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.577,4.54912,9.79564,0.65636,27.9395,5.34724,0.68684,0.73116,0.78705,0.23352,0,0,0,0,2.81111,9.86423,0.53206,5.55135,5.34183,0.00056,0.00056,0.00056
2,301.603,2.98405,7.65587,0.54658,0.96916,3.53928,0.91889,1,0.9876,0.38533,0,0,0,0,2.34048,8.8467,0.1893,1.08722,4.27501,0.00113248,0.00113248,0.00113248
3,456.62,2.0726,6.8913,0.3363,0.77974,2.44581,0.85133,0.96491,0.93729,0.42652,0,0,0,0,1.50977,10.2211,0.08063,3.10716,2.58797,0.0016973,0.0016973,0.0016973
4,610.718,1.82521,5.86069,0.24641,0.73935,1.92726,0.70795,1,0.995,0.66439,0,0,0,0,1.14352,10.6117,0.03967,7.5082,3.05945,0.0019604,0.0019604,0.0019604
5,754.88,1.81321,4.93156,0.22592,0.72235,1.57202,0.91711,0.9706,0.98879,0.66001,0.00341,0.03509,0.00154,0.00015,1.101,8.94292,0.12398,1.29672,2.20833,0.0019472,0.0019472,0.0019472
6,893.936,1.69523,4.87809,0.21287,0.67783,1.53219,0.98279,1,0.995,0.34622,0.0345,0.03509,0.00165,0.00016,2.45246,5.30644,0.17417,2.33508,5.02287,0.001934,0.001934,0.001934
7,1027.27,1.6531,4.64615,0.19049,0.62882,1.42164,0.97717,0.98246,0.99431,0.4611,0.16694,0.17544,0.03651,0.00702,2.34638,5.35356,0.13945,4.00205,4.66317,0.0019208,0.0019208,0.0019208
8,1157.61,1.58305,4.45063,0.19174,0.58086,1.33288,0.8742,0.97535,0.95136,0.21332,0.58241,0.64912,0.53275,0.10756,2.80376,5.15757,0.12847,1.49356,4.84399,0.0019076,0.0019076,0.0019076
9,1296.4,1.51317,4.2843,0.18031,0.55101,1.19178,1,0.9987,0.995,0.65814,1,0.9987,0.995,0.28385,1.2762,4.19731,0.13001,0.772,2.01893,0.0018944,0.0018944,0.0018944
10,1432.68,1.50127,4.28061,0.17617,0.54034,1.12498,0.99638,1,0.995,0.70729,0.9789,0.98246,0.96836,0.20571,1.16488,4.38279,0.16301,0.6147,1.78067,0.0018812,0.0018812,0.0018812
11,1562.11,1.39324,4.11396,0.15635,0.48729,1.09814,0.99761,1,0.995,0.79238,0.99761,1,0.995,0.25865,0.89791,4.23406,0.09473,0.4507,1.58232,0.001868,0.001868,0.001868
12,1690.8,1.41159,4.04254,0.14955,0.48838,1.05653,0.9962,1,0.995,0.6305,0.9962,1,0.995,0.2971,1.46779,4.27318,0.0857,0.57865,2.37171,0.0018548,0.0018548,0.0018548
13,1832.12,1.42189,4.00923,0.15526,0.485,1.11237,1,0.99486,0.995,0.71362,1,0.99486,0.995,0.29906,1.13335,4.15302,0.05841,0.82722,2.34226,0.0018416,0.0018416,0.0018416
14,1972.18,1.4108,4.01767,0.14767,0.47392,1.0444,0.99296,0.98246,0.99434,0.77659,0.99296,0.98246,0.99434,0.27591,0.90351,4.21428,0.0658,0.48343,1.56805,0.0018284,0.0018284,0.0018284
15,2111.7,1.353,3.96116,0.15005,0.46725,1.01334,0.99905,1,0.995,0.71077,0.99905,1,0.995,0.33277,1.27429,4.13313,0.05605,0.46967,2.17188,0.0018152,0.0018152,0.0018152
16,2251.79,1.35176,3.89481,0.13788,0.45586,0.95697,0.99597,1,0.995,0.72967,0.99597,1,0.995,0.32895,1.0611,4.06127,0.03275,0.40893,1.80899,0.001802,0.001802,0.001802
17,2404.03,1.39485,3.84778,0.13748,0.47016,0.93325,0.99849,1,0.995,0.78975,0.99849,1,0.995,0.31169,0.84846,4.09168,0.04134,0.41348,1.59817,0.0017888,0.0017888,0.0017888
18,2546.5,1.31482,3.86161,0.11629,0.44114,0.95267,1,1,0.995,0.82467,1,1,0.995,0.3238,0.86995,4.04452,0.0421,0.37742,1.51675,0.0017756,0.0017756,0.0017756
19,2681.65,1.31669,3.89045,0.11655,0.43448,0.92109,0.99907,1,0.995,0.79451,0.99907,1,0.995,0.33187,0.84903,4.07116,0.03723,0.35489,1.54146,0.0017624,0.0017624,0.0017624
20,2812.87,1.3297,3.86948,0.12318,0.44498,0.92514,0.99912,1,0.995,0.78139,0.99912,1,0.995,0.31958,0.97023,4.04695,0.03057,0.3873,1.60162,0.0017492,0.0017492,0.0017492
21,2954.18,1.29998,3.84459,0.114,0.44438,0.91168,0.99871,1,0.995,0.77518,0.99871,1,0.995,0.33076,0.8574,4.02841,0.04045,0.39886,1.64723,0.001736,0.001736,0.001736
22,3096.28,1.35929,3.79415,0.10709,0.44864,0.93442,0.99901,1,0.995,0.66856,0.99901,1,0.995,0.34845,1.18455,4.04122,0.03332,0.49247,2.23661,0.0017228,0.0017228,0.0017228
23,3232.19,1.25812,3.79809,0.10635,0.42325,0.93812,0.99754,1,0.995,0.76244,0.99754,1,0.995,0.34569,0.96055,4.16315,0.02116,0.471,1.83412,0.0017096,0.0017096,0.0017096
