epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.974,4.31547,9.94069,0.65244,24.8139,4.81051,0.74963,0.84046,0.86945,0.21541,0,0,0,0,2.80773,9.84794,0.541,2.54174,7.95354,0.00056,0.00056,0.00056
2,280.678,2.63543,8.02244,0.61571,0.90989,3.3209,0.74928,0.87719,0.90276,0.38261,0,0,0,0,2.19099,8.1415,0.3228,0.96986,3.76057,0.00113248,0.00113248,0.00113248
3,424.177,1.74345,6.70108,0.49546,0.69376,2.19872,0.79708,0.91228,0.92018,0.47164,0,0,0,0,1.61591,9.02258,0.329,2.58522,3.6854,0.0016973,0.0016973,0.0016973
4,561.91,1.51093,5.49658,0.30205,0.65871,1.80954,0.31992,0.89474,0.38835,0.14017,0.06065,0.22807,0.01741,0.00215,2.12083,6.54684,0.13011,7.75954,4.61742,0.0019604,0.0019604,0.0019604
5,715.552,1.65718,5.21353,0.2374,0.69028,1.60732,0.99144,1,0.995,0.71761,0,0,0,0,1.18417,9.5805,0.04551,3.13401,2.45542,0.0019472,0.0019472,0.0019472
6,866.686,1.45001,4.84893,0.20909,0.61133,1.5199,0.98769,0.98246,0.99483,0.75402,0.0135,0.01754,0.00048,5e-05,0.91092,5.91256,0.10528,3.69962,1.9135,0.001934,0.001934,0.001934
7,1005.25,1.33035,4.63605,0.18596,0.52901,1.29494,0.9967,1,0.995,0.72657,0.61912,0.66667,0.43315,0.05301,0.94962,4.51236,0.13489,0.55616,1.82041,0.0019208,0.0019208,0.0019208
8,1143.13,1.31014,4.44148,0.19654,0.51248,1.24375,0.99249,0.98246,0.99466,0.74363,0.97527,0.96491,0.9642,0.40831,0.94456,3.35439,0.11911,1.41994,1.7507,0.0019076,0.0019076,0.0019076
9,1291.01,1.25717,4.31291,0.17719,0.50411,1.18006,1,0.99768,0.995,0.65867,0.98242,0.98034,0.9776,0.28588,1.34961,3.77263,0.10607,0.82026,2.52506,0.0018944,0.0018944,0.0018944
10,1441.7,1.26062,4.3193,0.16985,0.49404,1.13627,0.99462,1,0.995,0.75328,0.97699,0.98246,0.97583,0.3834,1.05572,3.5429,0.10332,0.56148,2.02326,0.0018812,0.0018812,0.0018812
11,1571.06,1.17658,4.1314,0.15295,0.45359,1.0855,0.99413,1,0.995,0.74684,0.97669,0.98246,0.97701,0.39139,0.94095,3.45455,0.09521,0.51533,1.81764,0.001868,0.001868,0.001868
12,1702.93,1.20378,4.12628,0.15106,0.44847,1.06907,0.99646,1,0.995,0.78709,0.97883,0.98246,0.98107,0.4899,0.8685,3.22234,0.08712,0.42914,1.645,0.0018548,0.0018548,0.0018548
13,1834.31,1.17709,4.02914,0.15244,0.44307,1.02684,0.99886,1,0.995,0.72277,0.98131,0.98246,0.98806,0.49153,1.23278,3.19778,0.09055,0.44497,2.49486,0.0018416,0.0018416,0.0018416
14,1965.81,1.19436,4.06913,0.15045,0.43383,1.01607,0.97381,1,0.99207,0.77628,0.95601,0.98246,0.97034,0.41294,0.90656,3.37505,0.09875,0.3973,1.8273,0.0018284,0.0018284,0.0018284
