epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.657,2.52891,9.30183,1.06728,0,0,0,0,4.71192,5.143,3.46665,0.0704412,0.00328431,0.00328431
2,523.52,2.89566,3.01982,1.14346,0,0,0,0,5.13177,inf,5.54849,0.0403975,0.00657397,0.00657397
3,819.892,2.8213,2.68442,1.12682,0.2622,0.2963,0.21614,0.08204,2.52381,3.90003,1.11243,0.0103098,0.00981963,0.00981963
4,1097.14,2.61654,2.3198,1.09301,0.4234,0.27037,0.27478,0.08632,2.62072,2.23327,1.13688,0.009802,0.009802,0.009802
5,1379.38,2.57135,2.195,1.03662,0.1575,0.1037,0.08545,0.03731,2.86784,3.96088,1.28498,0.009736,0.009736,0.009736
6,1645.64,2.33379,2.07548,1.00899,0.5874,0.36296,0.44058,0.18339,2.1796,2.55685,1.00117,0.00967,0.00967,0.00967
7,1918.92,2.1297,1.78026,0.97084,0.73691,0.40741,0.50687,0.21812,2.03978,1.80711,0.97146,0.009604,0.009604,0.009604
8,2130.22,2.10534,1.56963,0.954,0.65692,0.51481,0.5437,0.19408,2.25194,2.02632,1.03335,0.009538,0.009538,0.009538
9,2410.8,2.02517,1.62027,0.95161,0.788,0.24781,0.43411,0.23786,1.89738,2.8429,0.94788,0.009472,0.009472,0.009472
10,2677.01,1.94237,1.64035,0.9582,0.80648,0.57778,0.67269,0.34718,1.70044,1.35337,0.93471,0.009406,0.009406,0.009406
11,2900.58,1.88358,1.39893,0.91813,0.76997,0.54074,0.67337,0.31231,1.77918,1.5208,0.93406,0.00934,0.00934,0.00934
12,3166.61,1.79107,1.46206,0.90426,0.76275,0.60741,0.67228,0.30538,1.81787,1.27125,0.92656,0.009274,0.009274,0.009274
13,3445.94,1.90572,1.40066,0.93642,0.97942,0.01111,0.0433,0.02608,nan,nan,nan,0.009208,0.009208,0.009208
14,3712.35,1.82404,1.28318,0.92378,0.80182,0.52963,0.65259,0.36607,1.65299,1.50656,0.92338,0.009142,0.009142,0.009142
15,3991.71,1.86062,1.27743,0.92224,0.69644,0.54382,0.63359,0.31797,1.76549,1.7697,0.93993,0.009076,0.009076,0.009076
16,4203.68,1.75289,1.28658,0.91046,0.83015,0.55185,0.67421,0.33459,1.73187,1.37142,0.92346,0.00901,0.00901,0.00901
17,4427.7,1.69632,1.25362,0.88396,0.83534,0.63333,0.74392,0.4,1.52868,1.14408,0.89588,0.008944,0.008944,0.008944
18,4640.6,1.76394,1.30611,0.89214,0.8592,0.63333,0.75408,0.42643,1.48047,1.17297,0.89712,0.008878,0.008878,0.008878
19,4865.21,1.78224,1.34819,0.9179,0.83408,0.58889,0.67541,0.35568,1.67851,1.43642,0.93605,0.008812,0.008812,0.008812
20,5130.41,1.72943,1.19255,0.9039,0.85643,0.6186,0.7447,0.42173,1.52075,1.0853,0.89876,0.008746,0.008746,0.008746
21,5410.6,1.74869,1.2802,0.91063,0.84792,0.0037,0.00668,0.00401,nan,nan,nan,0.00868,0.00868,0.00868
22,5623.38,1.77952,1.27156,0.92998,0.80292,0.55926,0.65975,0.37215,1.44907,1.46782,0.88502,0.008614,0.008614,0.008614
23,5838.74,1.69998,1.21692,0.90032,0.88109,0.66667,0.78024,0.4383,1.4753,1.03734,0.88855,0.008548,0.008548,0.008548
24,6102.71,1.61768,1.20119,0.8892,0.92261,0.66227,0.75718,0.41302,1.50995,1.15258,0.89001,0.008482,0.008482,0.008482
25,6326.8,1.66462,1.21339,0.89352,0.90217,0.63704,0.73755,0.40576,1.58712,1.21907,0.90292,0.008416,0.008416,0.008416
26,6539.37,1.63,1.08774,0.87146,0.71847,0.64074,0.71135,0.38749,1.56951,1.16755,0.90126,0.00835,0.00835,0.00835
27,6808.34,1.69054,1.07325,0.89728,0.81805,0.68148,0.76671,0.43077,1.52543,1.10012,0.90705,0.008284,0.008284,0.008284
28,7074.98,1.60269,1.06821,0.89753,0.77355,0.68148,0.735,0.42082,1.51105,1.15517,0.89322,0.008218,0.008218,0.008218
