epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.877,4.54912,9.79564,0.65636,27.9395,5.34724,0.68684,0.73116,0.78705,0.23352,0,0,0,0,2.81111,9.86423,0.53206,5.55135,5.34183,0.00056,0.00056,0.00056
2,270.246,2.98405,7.65587,0.54658,0.96916,3.53928,0.91889,1,0.9876,0.38533,0,0,0,0,2.34048,8.8467,0.1893,1.08722,4.27501,0.00113248,0.00113248,0.00113248
3,416.783,2.0726,6.8913,0.3363,0.77974,2.44581,0.85133,0.96491,0.93729,0.42652,0,0,0,0,1.50977,10.2211,0.08063,3.10716,2.58797,0.0016973,0.0016973,0.0016973
4,564.646,1.82521,5.86069,0.24641,0.73935,1.92726,0.70795,1,0.995,0.66439,0,0,0,0,1.14352,10.6117,0.03967,7.5082,3.05945,0.0019604,0.0019604,0.0019604
5,714.17,1.81321,4.93156,0.22592,0.72235,1.57202,0.91711,0.9706,0.98879,0.66001,0.00341,0.03509,0.00154,0.00015,1.101,8.94292,0.12398,1.29672,2.20833,0.0019472,0.0019472,0.0019472
6,858.063,1.69523,4.87809,0.21287,0.67783,1.53219,0.98279,1,0.995,0.34622,0.0345,0.03509,0.00165,0.00016,2.45246,5.30644,0.17417,2.33508,5.02287,0.001934,0.001934,0.001934
7,1014.39,1.6531,4.64615,0.19049,0.62882,1.42164,0.97717,0.98246,0.99431,0.4611,0.16694,0.17544,0.03651,0.00702,2.34638,5.35356,0.13945,4.00205,4.66317,0.0019208,0.0019208,0.0019208
8,1155.37,1.58305,4.45063,0.19174,0.58086,1.33288,0.8742,0.97535,0.95136,0.21332,0.58241,0.64912,0.53275,0.10756,2.80376,5.15757,0.12847,1.49356,4.84399,0.0019076,0.0019076,0.0019076
9,1295.67,1.51317,4.2843,0.18031,0.55101,1.19178,1,0.9987,0.995,0.65814,1,0.9987,0.995,0.28385,1.2762,4.19731,0.13001,0.772,2.01893,0.0018944,0.0018944,0.0018944
10,1430.47,1.50127,4.28061,0.17617,0.54034,1.12498,0.99638,1,0.995,0.70729,0.9789,0.98246,0.96836,0.20571,1.16488,4.38279,0.16301,0.6147,1.78067,0.0018812,0.0018812,0.0018812
11,1570.61,1.39324,4.11396,0.15635,0.48729,1.09814,0.99761,1,0.995,0.79238,0.99761,1,0.995,0.25865,0.89791,4.23406,0.09473,0.4507,1.58232,0.001868,0.001868,0.001868
