epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,1703.05,1.41159,4.04254,0.14955,0.48838,1.05653,0.9962,1,0.995,0.6305,0.9962,1,0.995,0.2971,1.46779,4.27318,0.0857,0.57865,2.37171,0.0018548,0.0018548,0.0018548
13,1844.82,1.42189,4.00923,0.15526,0.485,1.11237,1,0.99486,0.995,0.71362,1,0.99486,0.995,0.29906,1.13335,4.15302,0.05841,0.82722,2.34226,0.0018416,0.0018416,0.0018416
14,1981.08,1.4108,4.01767,0.14767,0.47392,1.0444,0.99296,0.98246,0.99434,0.77659,0.99296,0.98246,0.99434,0.27591,0.90351,4.21428,0.0658,0.48343,1.56805,0.0018284,0.0018284,0.0018284
15,2114.11,1.353,3.96116,0.15005,0.46725,1.01334,0.99905,1,0.995,0.71077,0.99905,1,0.995,0.33277,1.27429,4.13313,0.05605,0.46967,2.17188,0.0018152,0.0018152,0.0018152
16,2239.49,1.35176,3.89481,0.13788,0.45586,0.95697,0.99597,1,0.995,0.72967,0.99597,1,0.995,0.32895,1.0611,4.06127,0.03275,0.40893,1.80899,0.001802,0.001802,0.001802
17,2381.9,1.39485,3.84778,0.13748,0.47016,0.93325,0.99849,1,0.995,0.78975,0.99849,1,0.995,0.31169,0.84846,4.09168,0.04134,0.41348,1.59817,0.0017888,0.0017888,0.0017888
18,2519.34,1.31482,3.86161,0.11629,0.44114,0.95267,1,1,0.995,0.82467,1,1,0.995,0.3238,0.86995,4.04452,0.0421,0.37742,1.51675,0.0017756,0.0017756,0.0017756
19,2661.67,1.31669,3.89045,0.11655,0.43448,0.92109,0.99907,1,0.995,0.79451,0.99907,1,0.995,0.33187,0.84903,4.07116,0.03723,0.35489,1.54146,0.0017624,0.0017624,0.0017624
20,2796.45,1.3297,3.86948,0.12318,0.44498,0.92514,0.99912,1,0.995,0.78139,0.99912,1,0.995,0.31958,0.97023,4.04695,0.03057,0.3873,1.60162,0.0017492,0.0017492,0.0017492
21,2938.97,1.29998,3.84459,0.114,0.44438,0.91168,0.99871,1,0.995,0.77518,0.99871,1,0.995,0.33076,0.8574,4.02841,0.04045,0.39886,1.64723,0.001736,0.001736,0.001736
22,3078.89,1.35929,3.79415,0.10709,0.44864,0.93442,0.99901,1,0.995,0.66856,0.99901,1,0.995,0.34845,1.18455,4.04122,0.03332,0.49247,2.23661,0.0017228,0.0017228,0.0017228
23,3222.19,1.25812,3.79809,0.10635,0.42325,0.93812,0.99754,1,0.995,0.76244,0.99754,1,0.995,0.34569,0.96055,4.16315,0.02116,0.471,1.83412,0.0017096,0.0017096,0.0017096
24,3355.59,1.26335,3.79194,0.09738,0.41,0.88866,0.99888,1,0.995,0.79385,0.99888,1,0.995,0.27893,0.87634,4.19615,0.04171,0.39111,1.55322,0.0016964,0.0016964,0.0016964
25,3494.71,1.19919,3.79171,0.0955,0.39615,0.8812,0.99905,1,0.995,0.794,0.99905,1,0.995,0.3566,0.87702,4.10139,0.03475,0.37602,1.52391,0.0016832,0.0016832,0.0016832
26,3633.8,1.35741,3.74648,0.10329,0.42465,0.8057,0.99885,1,0.995,0.81985,0.99885,1,0.995,0.28914,0.84259,4.11336,0.0324,0.40512,1.79782,0.00167,0.00167,0.00167
27,3772.93,1.25904,3.71842,0.10455,0.41039,0.82628,0.99885,1,0.995,0.78231,0.99885,1,0.995,0.35264,0.82437,4.07193,0.02848,0.3486,1.51286,0.0016568,0.0016568,0.0016568
28,3912.53,1.30448,3.54279,0.10428,0.41741,0.81694,0.99887,1,0.995,0.74882,0.85868,0.85965,0.87079,0.24632,1.08616,4.44428,0.02487,0.39739,2.07474,0.0016436,0.0016436,0.0016436
29,4059.49,1.29178,3.49248,0.11031,0.41042,0.8653,0.99898,1,0.995,0.79551,0.99898,1,0.995,0.23806,0.92199,4.28326,0.02868,0.41483,1.58474,0.0016304,0.0016304,0.0016304
30,4207.77,1.32786,3.45133,0.11512,0.41938,0.8359,0.99817,1,0.995,0.72188,0.77045,0.77193,0.63392,0.18893,1.02145,4.73485,0.02617,0.52735,1.88185,0.0016172,0.0016172,0.0016172
31,4355.91,1.29534,3.38643,0.10184,0.41602,0.85493,0.98246,0.98246,0.99025,0.66058,0.42831,0.21053,0.28769,0.046,1.40833,6.17339,0.02371,0.88307,2.39901,0.001604,0.001604,0.001604
32,4503.39,1.32378,3.38611,0.11002,0.41813,0.83225,0.99896,1,0.995,0.7889,0.98143,0.98246,0.97322,0.29871,0.93315,4.12659,0.02324,0.37743,1.80036,0.0015908,0.0015908,0.0015908
33,4651.77,1.27752,3.41329,0.11082,0.41664,0.86147,0.99608,1,0.995,0.73949,0.99608,1,0.995,0.33059,0.9849,4.054,0.04061,0.39209,1.84162,0.0015776,0.0015776,0.0015776
